年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,平均価格（住宅地）,52.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,専用住宅面積あたり家賃,59.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,一戸建の持ち家の割合,47.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,駅・バス停留所徒歩圏人口カバー率,43.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,駅・バス停徒歩圏人口密度,59.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり小型車走行キロ,43.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,通勤通学に自家用車等を用いない割合,42.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,職場までの平均通勤時間,64.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり娯楽業事業所数,64.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,保育所への距離1kmの住宅割合,50.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,可住地面積あたり幼稚園数,42.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,一施設当たり幼稚園児数,65.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり待機児童数,51.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,歳出総額の教育費割合,47.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,合計特殊出生率,74.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,可住地面積あたり小学校数,46.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,可住地面積あたり中学校数,47.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,可住地面積あたり高等学校数,45.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,一施設当たり小学生数,73.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,一施設当たり中学生数,76.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,一施設当たり高校生数,66.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり体育施設利用者数,54.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり図書館帯出者数,40.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり博物館入館者数,52.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,財政指数,36.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,自治体DX指数,45.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,デジタル政策指数,38.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,デジタル生活指数,42.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,公園緑地徒歩圏人口カバー率,42.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり公園面積,60.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,歩道設置率,48.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,都市景観指数,46.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,自然景観指数,54.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,食料供給ポテンシャル,37.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,水供給ポテンシャル,69.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,木材供給ポテンシャル,41.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,炭素吸収量,64.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,蒸発散量,57.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,地下水涵養量,42.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,土壌流出防止量,80.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,窒素除去量,80.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,リン酸除去量,80.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,NO2吸収量,57.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,SO2吸収量,80.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,洪水調整量,58.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,"表層崩壊への安全性",50.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,緑地へのアクセス度,67.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,水域へのアクセス度,38.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,オートキャンプ場への立地,46.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,NOx濃度,
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,PM2.5濃度,
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,ゴミのリサイクル率,33.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたりCO2排出量,52.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,"人口あたり再生可能エネルギー発電容量",44.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,環境政策指数,55.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,外水氾濫,47.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,高潮,38.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,土砂災害,20.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,地震動,54.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,津波,28.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,ハード対策,30.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,避難・救助,35.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,要配慮者支援,42.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,防災教育,42.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,防災まちづくり,52.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり交通事故件数,60.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,人口あたり刑法犯認知件数,58.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,生活環境,空家率,32.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたり自殺者数,20.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,拡大家族世帯割合,44.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,既婚者割合,64.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,高齢単身世帯割合,20.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,居住期間が20年以上の人口割合,47.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,祭りの数,47.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,自治会・町内会加入率,
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたり政治団体等の数,51.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたり宗教の事業所数,50.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたりNPOの数,64.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,関係人口創出活動指数,56.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,議会の女性議員割合,37.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,自治体における管理職の女性割合,38.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,自治体職員における障害者の割合,49.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,人口あたり外国人人口,37.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,地域の人間関係,多様性政策指数,42.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,首長選挙の投票率,71.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,健康寿命（男性）,20.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,健康寿命（女性）,41.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,47.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,大卒・院卒者の割合,36.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,人口あたり生涯学習講座数,43.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,46.2
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,50.5
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,完全失業率,37.4
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,若年層完全失業率,36.6
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,正規雇用者比率,48.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,高齢者有業率,55.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,高卒者進路未定者率,57.3
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,市区町村内で従業している者の割合,68.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,創業比率,59.0
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,納税者あたり課税対象所得,42.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,"クリエイティブ産業事業所構成比",45.7
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,新規設立法人の割合,39.9
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,従業者数あたりコワーキングスペース数,47.8
2023年度版(令和5年度版),全国調査,"鹿児島県 奄美市",客観データ,自分らしい生き方,大学発ベンチャー企業数,46.0
