年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,健康状態,43.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,文化・芸術,48.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,教育機会の豊かさ,49.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,雇用・所得,52.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,事業創造,49.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,特定健診実施率,43.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,スポーツ行動者率,54.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,喫煙率,62.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり生活習慣病受療者数,46.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり気分障害（うつ等）受療者数,51.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり医療施設数,49.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり医療施設数,55.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり産科・産婦人科医師数,54.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり児童福祉施設数,46.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり介護施設数,50.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり障害者支援施設数,46.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり介護施設数,46.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたりホームヘルパー数,45.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり小売店舗数,49.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり小売店舗数,46.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたりコンビニエンスストア数,49.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたりコンビニエンスストア数,46.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,平均地価（住宅地）,49.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,一戸建の持ち家の割合,42.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり駅・バス停数,56.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり駅・バス停数,48.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,職場までの平均通勤時間,49.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,道路整備率,47.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,余暇時間,45.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,教養・娯楽サービス支出,54.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり映画館数,49.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,保育所まで1km未満の住宅割合,54.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり地域子育て支援拠点箇所数,49.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,学童保育設置率,39.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,"歳出総額における教育費の構成比",42.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり待機児童数,53.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,合計特殊出生率,55.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり小学校数,50.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり中学校数,51.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり高等学校数,51.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,施設あたり小学生数,46.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,施設あたり中学生数,50.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,施設あたり高校生数,52.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,教員一人あたりの児童生徒数,43.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,遠隔教育実施率,44.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,小中学生の自己肯定感,63.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,小中学生の自ら学ぶ態度,45.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自分の考えを深める学生,56.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,将来に目標を持つ学生,56.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,子どものチャレンジ率,55.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,進んで助ける学生,51.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,"子供の体力・運動能力水準以上",52.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,学力水準,54.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,不登校児童生徒割合,40.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり図書館帯出者数,51.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり博物館入館者数,47.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり体育施設利用者数,41.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,地域財政指数,47.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自治体DX指数,50.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,デジタル政策指数,61.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,デジタル生活指数,69.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり都市公園数,46.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり都市公園数,42.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,可住地面積あたり市民農園面積,46.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,ウォーカブル指数,57.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,都市景観指数,44.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,自然景観指数,48.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,食料生産ポテンシャル,38.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,水供給ポテンシャル,43.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,木材供給ポテンシャル,36.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,炭素吸収量,50.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,蒸発散量,47.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,地下水涵養量,44.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,土壌流出防止量,45.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,窒素除去量,49.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,リン酸除去量,49.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,NO2吸収量,53.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,SO2吸収量,53.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,洪水調整量,42.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,"表層崩壊からの安全率",45.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,緑地へのアクセス度,52.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,水域へのアクセス度,55.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,オートキャンプ場への立地,46.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,公害苦情件数（典型７公害）,49.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,"人口あたり再生可能エネルギー発電量",45.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたりエネルギー消費量,55.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたりゴミ排出量,56.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,食料自給率,43.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,外水氾濫危険度,57.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,高潮危険度,42.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,土砂災害危険度,29.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,地震動危険度,54.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,津波危険度,32.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,ハード対策,38.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,避難・救助,55.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,要配慮者支援,62.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,防災教育,65.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,防災まちづくり,52.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,情報・デジタル防災,45.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり交通事故件数,56.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,生活環境,人口あたり刑法犯認知件数,48.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,人口あたり自殺者数,51.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,高齢単身世帯の割合,49.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,人口あたりNPOの数,36.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,ボランティア行動者率,46.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,祭り開催数,48.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,関係人口創出活動指数,43.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,管理職職員における女性の割合（官民問わず）,54.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,女性の労働力人口比率,48.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,家事の男女負担割合,45.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,男女の賃金格差,49.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,障害者雇用率,40.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,人口あたり外国人人口,53.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,留学生数の割合,51.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,地域の人間関係,多様性政策指数,42.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,首長選挙投票率,35.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,都道府県議会投票率,37.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,健康寿命(男性),51.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,健康寿命(女性),36.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,芸術家・著述家等の割合,48.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,国宝・重要文化財（建造物）の数,51.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,日本遺産の数,44.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,大卒・院卒者の割合,60.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学の数,51.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,可住地面積あたり国立・私立中高一貫校数,48.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,大学進学率,62.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,語学教室にかける金額,48.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり社会教育費,41.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり生涯学習講座数,39.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,36.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,54.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,51.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,完全失業率,58.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,若年層完全失業率,59.6
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,正規雇用者比率,59.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,高齢者有業率,48.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,創業比率,53.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり農業産出額,42.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり旅行者数・宿泊者数,43.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,有効求人倍率,61.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,インターンシップ実施率,48.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり大卒者進路未定者数,48.5
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,製造業労働生産性,55.0
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,"本社機能流出・流入数",48.8
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,納税者あたり課税対象所得,53.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,可処分所得,51.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,人口あたり生活保護受給者数,55.2
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,高齢世帯の相対的貧困率,60.4
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,労働時間,47.9
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,"クリエイティブ産業事業所の構成比",52.1
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,新規設立法人の割合,47.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,従業者数あたりコワーキングスペースの数,47.3
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,大学発ベンチャー企業数,49.7
2023年度版(令和5年度版),全国調査,"広島県 全域（都道府県表示）",客観データ,自分らしい生き方,特許等出願件数,48.3
